KOR,MATH,MEAN
98,57,77.5
97,74,85.5
69,76,72.5
81,90,85.5
89,97,93.0
66,83,74.5
74,87,80.5
52,95,73.5
99,56,77.5
69,72,70.5
89,94,91.5
93,79,86.0
92,81,86.5
82,98,90.0
84,98,91.0
76,92,84.0
69,85,77.0
86,99,92.5
81,89,85.0
83,77,80.0
90,85,87.5
96,55,75.5
67,97,82.0
58,85,71.5
90,83,86.5
63,77,70.0
90,66,78.0
76,97,86.5
87,81,84.0
87,83,85.0
46,98,72.0
64,95,79.5
100,77,88.5
99,49,74.0
99,60,79.5
73,79,76.0
81,84,82.5
76,98,87.0
88,96,92.0
93,93,93.0
90,85,87.5
52,91,71.5
84,59,71.5
86,89,87.5
94,67,80.5
96,46,71.0
79,91,85.0
53,94,73.5
56,96,76.0
94,60,77.0
60,97,78.5
92,80,86.0
83,86,84.5
58,95,76.5
73,74,73.5
66,78,72.0
98,98,98.0
67,95,81.0
79,65,72.0
96,66,81.0
86,67,76.5
88,89,88.5
74,98,86.0
43,99,71.0
93,82,87.5
59,88,73.5
78,100,89.0
93,54,73.5
74,75,74.5
81,63,72.0
90,60,75.0
86,58,72.0
92,73,82.5
75,100,87.5
78,100,89.0
68,100,84.0
91,93,92.0
56,85,70.5
77,99,88.0
54,94,74.0
60,89,74.5
100,62,81.0
81,85,83.0
95,94,94.5
100,42,71.0
94,71,82.5
75,78,76.5
49,100,74.5
81,99,90.0
77,94,85.5
51,93,72.0
84,79,81.5
74,88,81.0
96,46,71.0
95,77,86.0
89,89,89.0
90,80,85.0
98,78,88.0
53,87,70.0
50,99,74.5
88,92,90.0
66,92,79.0
83,100,91.5
81,81,81.0
76,64,70.0
90,60,75.0
100,70,85.0
56,95,75.5
91,49,70.0
88,98,93.0
81,90,85.5
78,81,79.5
65,100,82.5
62,95,78.5
93,75,84.0
75,94,84.5
61,79,70.0
79,64,71.5
99,87,93.0
87,77,82.0
64,84,74.0
80,98,89.0
95,68,81.5
90,89,89.5
45,97,71.0
67,79,73.0
48,95,71.5
67,96,81.5
80,87,83.5
63,97,80.0
98,47,72.5
95,74,84.5
78,70,74.0
71,88,79.5
48,93,70.5
87,71,79.0
77,91,84.0
88,60,74.0
83,96,89.5
93,63,78.0
90,95,92.5
55,86,70.5
79,86,82.5
90,100,95.0
67,88,77.5
54,88,71.0
76,79,77.5
44,97,70.5
86,70,78.0
82,95,88.5
68,78,73.0
54,89,71.5
71,77,74.0
78,89,83.5
86,90,88.0
80,77,78.5
97,75,86.0
81,84,82.5
70,90,80.0
94,80,87.0
97,89,93.0
96,75,85.5
58,87,72.5
71,77,74.0
70,73,71.5
76,78,77.0
89,70,79.5
82,66,74.0
95,85,90.0
68,77,72.5
91,95,93.0
78,97,87.5
85,85,85.0
68,85,76.5
76,92,84.0
88,81,84.5
86,73,79.5
99,76,87.5
89,74,81.5
54,98,76.0
55,100,77.5
51,97,74.0
79,89,84.0
98,44,71.0
82,86,84.0
84,75,79.5
84,64,74.0
74,87,80.5
85,97,91.0
99,60,79.5
88,54,71.0
89,80,84.5
56,86,71.0
76,94,85.0
87,53,70.0
97,50,73.5
98,46,72.0
85,95,90.0
69,96,82.5
99,91,95.0
78,91,84.5
86,61,73.5
82,83,82.5
99,62,80.5
84,88,86.0
76,88,82.0
74,68,71.0
99,93,96.0
84,82,83.0
63,79,71.0
72,71,71.5
77,79,78.0
75,98,86.5
85,100,92.5
81,90,85.5
82,77,79.5
66,91,78.5
62,83,72.5
82,63,72.5
96,55,75.5
81,91,86.0
69,73,71.0
56,100,78.0
99,73,86.0
49,92,70.5
71,94,82.5
57,97,77.0
95,93,94.0
89,66,77.5
94,74,84.0
95,58,76.5
92,100,96.0
55,90,72.5
85,82,83.5
100,90,95.0
63,91,77.0
81,75,78.0
96,44,70.0
51,96,73.5
59,84,71.5
72,68,70.0
98,51,74.5
81,96,88.5
96,83,89.5
75,93,84.0
100,99,99.5
90,85,87.5
67,89,78.0
85,69,77.0
67,97,82.0
68,96,82.0
91,49,70.0
80,94,87.0
64,86,75.0
90,85,87.5
73,83,78.0
57,88,72.5
57,84,70.5
71,69,70.0
95,56,75.5
87,78,82.5
93,59,76.0
65,83,74.0
59,87,73.0
78,76,77.0
71,73,72.0
60,86,73.0
97,59,78.0
66,87,76.5
75,93,84.0
65,92,78.5
67,89,78.0
59,85,72.0
100,48,74.0
84,83,83.5
82,66,74.0
85,99,92.0
64,97,80.5
84,59,71.5
83,98,90.5
52,96,74.0
88,94,91.0
66,76,71.0
95,51,73.0
81,59,70.0
74,73,73.5
96,72,84.0
96,92,94.0
58,90,74.0
89,74,81.5
55,95,75.0
85,81,83.0
52,88,70.0
100,42,71.0
66,76,71.0
87,89,88.0
85,69,77.0
93,75,84.0
72,93,82.5
96,87,91.5
98,79,88.5
82,79,80.5
84,69,76.5
59,100,79.5
99,51,75.0
85,85,85.0
51,100,75.5
72,87,79.5
97,92,94.5
79,98,88.5
58,99,78.5
75,88,81.5
88,79,83.5
83,78,80.5
74,99,86.5
82,82,82.0
73,100,86.5
56,84,70.0
70,86,78.0
93,82,87.5
97,86,91.5
97,95,96.0
68,73,70.5
49,92,70.5
90,90,90.0
88,80,84.0
86,72,79.0
100,54,77.0
84,83,83.5
57,92,74.5
70,77,73.5
49,92,70.5
69,77,73.0
90,91,90.5
96,86,91.0
100,53,76.5
93,54,73.5
87,80,83.5
74,93,83.5
55,93,74.0
71,90,80.5
73,94,83.5
95,93,94.0
77,92,84.5
96,53,74.5
78,77,77.5
85,60,72.5
57,84,70.5
68,93,80.5
54,98,76.0
62,83,72.5
55,100,77.5
100,75,87.5
67,75,71.0
79,88,83.5
87,65,76.0
51,96,73.5
83,71,77.0
59,91,75.0
84,95,89.5
63,87,75.0
89,58,73.5
97,95,96.0
65,79,72.0
89,75,82.0
57,88,72.5
70,96,83.0
76,93,84.5
84,63,73.5
80,82,81.0
88,83,85.5
82,68,75.0
60,80,70.0
47,96,71.5
90,100,95.0
61,79,70.0
90,74,82.0
92,94,93.0
85,74,79.5
64,94,79.0
51,96,73.5
89,67,78.0
94,96,95.0
78,99,88.5
46,94,70.0
74,82,78.0
83,76,79.5
88,88,88.0
82,87,84.5
86,63,74.5
78,63,70.5
65,76,70.5
74,67,70.5
80,81,80.5
85,73,79.0
80,93,86.5
75,78,76.5
74,98,86.0
75,74,74.5
77,70,73.5
82,70,76.0
98,97,97.5
73,93,83.0
94,88,91.0
56,88,72.0
70,90,80.0
98,78,88.0
95,49,72.0
71,76,73.5
92,81,86.5
85,60,72.5
65,82,73.5
56,100,78.0
92,97,94.5
71,73,72.0
80,67,73.5
53,96,74.5
97,64,80.5
84,70,77.0
77,65,71.0
81,60,70.5
96,54,75.0
84,84,84.0
81,90,85.5
71,75,73.0
75,100,87.5
82,58,70.0
85,78,81.5
61,84,72.5
93,98,95.5
75,89,82.0
66,74,70.0
49,99,74.0
85,91,88.0
79,70,74.5
96,72,84.0
85,80,82.5
82,62,72.0
53,90,71.5
74,89,81.5
86,63,74.5
66,94,80.0
89,76,82.5
60,87,73.5
69,83,76.0
74,79,76.5
94,50,72.0
56,89,72.5
98,53,75.5
96,74,85.0
95,72,83.5
72,95,83.5
98,57,77.5
74,87,80.5
66,81,73.5
92,64,78.0
81,92,86.5
90,86,88.0
87,80,83.5
83,85,84.0
58,94,76.0
96,64,80.0
97,77,87.0
98,88,93.0
77,74,75.5
78,79,78.5
72,76,74.0
68,83,75.5
49,98,73.5
85,86,85.5
72,72,72.0
86,94,90.0
72,91,81.5
93,57,75.0
71,83,77.0
68,84,76.0
72,90,81.0
61,90,75.5
96,89,92.5
91,78,84.5
93,66,79.5
75,81,78.0
57,96,76.5
92,89,90.5
74,81,77.5
63,82,72.5
71,80,75.5
85,71,78.0
67,98,82.5
86,87,86.5
87,64,75.5
89,75,82.0
87,77,82.0
97,68,82.5
91,65,78.0
63,92,77.5
95,60,77.5
76,73,74.5
53,94,73.5
100,69,84.5
98,58,78.0
67,75,71.0
77,90,83.5
91,92,91.5
80,94,87.0
58,85,71.5
75,96,85.5
70,76,73.0
77,65,71.0
89,54,71.5
84,74,79.0
85,74,79.5
74,68,71.0
72,95,83.5
96,45,70.5
91,49,70.0
96,61,78.5
96,51,73.5
63,84,73.5
77,73,75.0
67,78,72.5
87,97,92.0
83,85,84.0
85,58,71.5
73,89,81.0
61,98,79.5
79,79,79.0
87,79,83.0
99,53,76.0
58,83,70.5
81,99,90.0
50,97,73.5
72,94,83.0
84,56,70.0
67,90,78.5
83,72,77.5
95,81,88.0
76,82,79.0
94,73,83.5
68,95,81.5
50,96,73.0
83,80,81.5
75,74,74.5
69,91,80.0
93,83,88.0
87,57,72.0
78,94,86.0
59,85,72.0
80,83,81.5
57,87,72.0
87,70,78.5
80,67,73.5
89,99,94.0
74,79,76.5
90,66,78.0
100,64,82.0
97,84,90.5
98,59,78.5
84,75,79.5
51,94,72.5
79,66,72.5
55,100,77.5
65,90,77.5
69,77,73.0
75,87,81.0
68,75,71.5
79,92,85.5
99,41,70.0
99,71,85.0
72,93,82.5
81,61,71.0
44,98,71.0
98,87,92.5
68,77,72.5
81,67,74.0
81,81,81.0
89,79,84.0
60,93,76.5
76,74,75.0
91,89,90.0
98,63,80.5
74,97,85.5
65,94,79.5
85,95,90.0
82,92,87.0
100,61,80.5
42,99,70.5
86,98,92.0
88,88,88.0
56,87,71.5
57,96,76.5
78,79,78.5
90,57,73.5
91,68,79.5
73,81,77.0
79,66,72.5
91,82,86.5
98,78,88.0
66,97,81.5
77,73,75.0
99,97,98.0
65,82,73.5
94,46,70.0
82,90,86.0
91,60,75.5
69,79,74.0
85,87,86.0
99,89,94.0
81,62,71.5
76,76,76.0
98,60,79.0
85,59,72.0
76,75,75.5
88,56,72.0
94,80,87.0
86,62,74.0
99,72,85.5
52,90,71.0
95,87,91.0
73,85,79.0
80,85,82.5
98,55,76.5
79,62,70.5
90,82,86.0
99,46,72.5
82,88,85.0
88,86,87.0
80,90,85.0
96,81,88.5
77,88,82.5
80,78,79.0
89,62,75.5
78,65,71.5
93,80,86.5
91,51,71.0
93,91,92.0
100,87,93.5
92,52,72.0
93,55,74.0
83,87,85.0
77,71,74.0
100,69,84.5
59,90,74.5
69,75,72.0
95,86,90.5
76,91,83.5
64,81,72.5
93,71,82.0
97,46,71.5
80,72,76.0
89,98,93.5
84,60,72.0
91,63,77.0
78,93,85.5
97,86,91.5
72,79,75.5
81,60,70.5
70,95,82.5
99,92,95.5
91,96,93.5
77,80,78.5
96,74,85.0
83,77,80.0
96,73,84.5
74,95,84.5
86,86,86.0
57,90,73.5
75,85,80.0
81,80,80.5
89,54,71.5
72,85,78.5
80,60,70.0
79,88,83.5
67,90,78.5
51,89,70.0
94,93,93.5
82,93,87.5
63,88,75.5
75,93,84.0
88,77,82.5
87,69,78.0
69,76,72.5
94,86,90.0
91,96,93.5
87,58,72.5
97,81,89.0
87,94,90.5
81,68,74.5
57,85,71.0
84,81,82.5
100,94,97.0
93,65,79.0
67,97,82.0
94,94,94.0
95,79,87.0
73,94,83.5
95,70,82.5
86,91,88.5
95,94,94.5
99,63,81.0
47,95,71.0
73,100,86.5
92,86,89.0
95,58,76.5
79,74,76.5
63,99,81.0
75,70,72.5
79,88,83.5
74,97,85.5
81,74,77.5
54,98,76.0
98,92,95.0
86,97,91.5
49,94,71.5
96,79,87.5
82,60,71.0
58,83,70.5
96,99,97.5
96,88,92.0
85,73,79.0
89,99,94.0
99,80,89.5
83,71,77.0
73,78,75.5
96,59,77.5
62,93,77.5
91,79,85.0
94,56,75.0
61,100,80.5
95,56,75.5
83,90,86.5
56,93,74.5
77,90,83.5
54,96,75.0
72,78,75.0
66,79,72.5
86,70,78.0
49,92,70.5
69,91,80.0
88,77,82.5
62,92,77.0
70,87,78.5
56,89,72.5
53,91,72.0
96,95,95.5
97,55,76.0
92,66,79.0
62,99,80.5
77,94,85.5
87,81,84.0
93,48,70.5
85,86,85.5
71,95,83.0
95,75,85.0
99,77,88.0
97,68,82.5
63,88,75.5
67,80,73.5
67,96,81.5
55,90,72.5
92,96,94.0
73,84,78.5
89,77,83.0
92,54,73.0
88,59,73.5
85,55,70.0
93,52,72.5
88,84,86.0
86,96,91.0
77,68,72.5
100,99,99.5
94,75,84.5
98,67,82.5
79,71,75.0
78,78,78.0
43,99,71.0
58,83,70.5
64,95,79.5
97,80,88.5
98,87,92.5
79,64,71.5
89,82,85.5
79,97,88.0
54,97,75.5
92,67,79.5
70,87,78.5
95,65,80.0
62,79,70.5
75,83,79.0
81,61,71.0
62,88,75.0
95,47,71.0
86,86,86.0
97,94,95.5
84,72,78.0
91,91,91.0
60,89,74.5
95,98,96.5
46,95,70.5
87,93,90.0
66,76,71.0
98,50,74.0
82,82,82.0
95,53,74.0
90,99,94.5
93,63,78.0
92,78,85.0
93,63,78.0
100,55,77.5
80,80,80.0
97,77,87.0
99,57,78.0
87,55,71.0
89,81,85.0
75,93,84.0
98,75,86.5
85,92,88.5
89,52,70.5
79,87,83.0
50,90,70.0
92,67,79.5
90,55,72.5
76,96,86.0
78,96,87.0
64,94,79.0
76,77,76.5
64,95,79.5
77,74,75.5
97,84,90.5
58,87,72.5
57,95,76.0
89,66,77.5
76,71,73.5
62,90,76.0
98,90,94.0
62,82,72.0
100,67,83.5
89,86,87.5
49,91,70.0
96,66,81.0
47,96,71.5
99,85,92.0
69,82,75.5
87,69,78.0
91,91,91.0
87,69,78.0
78,64,71.0
97,63,80.0
97,68,82.5
72,91,81.5
78,67,72.5
73,100,86.5
85,92,88.5
95,49,72.0
83,65,74.0
77,96,86.5
97,48,72.5
77,76,76.5
80,87,83.5
61,90,75.5
100,91,95.5
97,92,94.5
65,91,78.0
88,94,91.0
93,79,86.0
53,96,74.5
98,87,92.5
80,98,89.0
74,80,77.0
88,76,82.0
88,66,77.0
78,64,71.0
72,73,72.5
97,47,72.0
70,77,73.5
98,46,72.0
97,45,71.0
96,84,90.0
67,90,78.5
76,87,81.5
97,54,75.5
90,75,82.5
68,84,76.0
90,57,73.5
50,94,72.0
81,63,72.0
88,93,90.5
94,48,71.0
62,97,79.5
94,100,97.0
66,96,81.0
99,92,95.5
73,77,75.0
94,66,80.0
46,100,73.0
100,90,95.0
87,75,81.0
88,89,88.5
81,92,86.5
95,82,88.5
41,100,70.5
46,100,73.0
89,94,91.5
43,100,71.5
94,77,85.5
91,91,91.0
97,86,91.5
89,100,94.5
66,94,80.0
73,71,72.0
89,55,72.0
62,92,77.0
95,98,96.5
71,89,80.0
88,67,77.5
75,70,72.5
98,51,74.5
60,90,75.0
83,62,72.5
94,60,77.0
93,82,87.5
74,97,85.5
89,90,89.5
88,80,84.0
91,84,87.5
51,95,73.0
84,72,78.0
80,60,70.0
76,100,88.0
80,99,89.5
50,100,75.0
90,62,76.0
92,70,81.0
75,66,70.5
64,99,81.5
56,96,76.0
88,64,76.0
92,84,88.0
95,94,94.5
65,91,78.0
83,57,70.0
58,86,72.0
99,68,83.5
98,56,77.0
90,82,86.0
78,79,78.5
94,85,89.5
92,93,92.5
72,79,75.5
94,91,92.5
84,72,78.0
53,95,74.0
88,95,91.5
54,92,73.0
96,77,86.5
99,69,84.0
98,88,93.0
94,90,92.0
87,59,73.0
79,89,84.0
94,69,81.5
70,91,80.5
95,54,74.5
99,83,91.0
89,75,82.0
97,56,76.5
74,72,73.0
94,54,74.0
44,99,71.5
80,76,78.0
100,55,77.5
81,89,85.0
92,81,86.5
74,72,73.0
99,47,73.0
93,71,82.0
80,94,87.0
84,87,85.5
65,81,73.0
95,77,86.0
64,89,76.5
86,80,83.0
87,66,76.5
92,91,91.5
77,91,84.0
90,84,87.0
94,100,97.0
58,100,79.0
98,50,74.0
47,93,70.0
88,63,75.5
60,85,72.5
96,77,86.5
100,95,97.5
65,75,70.0
94,92,93.0
86,70,78.0
65,98,81.5
99,85,92.0
65,90,77.5
70,89,79.5
79,90,84.5
95,54,74.5
79,64,71.5
80,88,84.0
86,71,78.5
87,97,92.0
80,72,76.0
89,96,92.5
89,97,93.0
65,83,74.0
50,95,72.5
73,80,76.5
80,89,84.5
82,83,82.5
70,88,79.0
98,70,84.0
84,80,82.0
94,46,70.0
92,96,94.0
97,79,88.0
43,100,71.5
100,100,100.0
77,70,73.5
62,91,76.5
64,92,78.0
66,77,71.5
57,95,76.0
72,81,76.5
81,59,70.0
48,97,72.5
54,96,75.0
65,81,73.0
75,76,75.5
89,62,75.5
81,92,86.5
60,94,77.0
79,90,84.5
94,47,70.5
81,99,90.0
89,95,92.0
99,84,91.5
77,73,75.0
66,80,73.0
84,65,74.5
99,98,98.5
100,50,75.0
73,70,71.5
51,100,75.5
97,60,78.5
96,50,73.0
89,61,75.0
49,97,73.0
94,95,94.5
93,69,81.0
47,98,72.5
82,81,81.5
57,91,74.0
72,76,74.0
98,97,97.5
78,90,84.0
80,94,87.0
91,77,84.0
97,88,92.5
73,88,80.5
87,65,76.0
83,66,74.5
64,80,72.0
94,78,86.0
81,88,84.5
92,85,88.5
76,74,75.0
65,86,75.5
96,89,92.5
68,100,84.0
58,86,72.0
82,64,73.0
73,95,84.0
90,87,88.5
50,93,71.5
72,85,78.5
95,55,75.0
95,72,83.5
98,100,99.0
92,57,74.5
66,94,80.0
85,59,72.0
97,84,90.5
97,80,88.5
95,78,86.5
76,92,84.0
66,100,83.0
56,92,74.0
85,98,91.5
62,100,81.0
72,76,74.0
95,80,87.5
79,86,82.5
54,95,74.5
74,70,72.0
54,95,74.5
52,99,75.5
80,70,75.0
86,79,82.5
91,76,83.5
68,93,80.5
73,97,85.0
94,74,84.0
79,66,72.5
61,93,77.0
98,100,99.0
85,99,92.0
90,54,72.0
93,51,72.0
87,91,89.0
54,93,73.5
88,56,72.0
97,75,86.0
81,88,84.5
51,89,70.0
66,85,75.5
80,81,80.5
77,84,80.5
100,79,89.5
77,90,83.5
93,73,83.0
93,84,88.5
53,98,75.5
76,95,85.5
73,90,81.5
73,77,75.0
90,75,82.5
67,90,78.5
75,75,75.0
73,82,77.5
47,94,70.5
99,78,88.5
97,89,93.0
62,91,76.5
58,88,73.0
96,59,77.5
99,69,84.0
85,64,74.5
99,44,71.5
97,75,86.0
57,99,78.0
83,73,78.0
87,67,77.0
77,75,76.0
100,43,71.5
88,65,76.5
69,98,83.5
68,89,78.5
93,52,72.5
87,68,77.5
49,100,74.5
92,66,79.0
84,72,78.0
97,43,70.0
98,92,95.0
97,94,95.5
74,88,81.0
96,64,80.0
89,88,88.5
71,82,76.5
86,68,77.0
67,90,78.5
77,92,84.5
75,70,72.5
90,69,79.5
90,98,94.0
50,93,71.5
67,100,83.5
81,68,74.5
88,67,77.5
57,88,72.5
51,96,73.5
71,88,79.5
64,86,75.0
96,77,86.5
66,88,77.0
58,86,72.0
77,78,77.5
77,98,87.5
65,75,70.0
74,100,87.0
77,93,85.0
55,87,71.0
92,76,84.0
99,100,99.5
67,86,76.5
96,84,90.0
65,92,78.5
58,100,79.0
89,68,78.5
64,80,72.0
80,85,82.5
48,97,72.5
90,76,83.0
95,90,92.5
98,97,97.5
69,93,81.0
96,86,91.0
91,100,95.5
97,98,97.5
61,84,72.5
55,98,76.5
60,87,73.5
95,99,97.0
81,82,81.5
75,94,84.5
97,82,89.5
47,93,70.0
95,78,86.5
59,83,71.0
90,88,89.0
79,66,72.5
60,82,71.0
74,94,84.0
49,94,71.5
64,97,80.5
90,69,79.5
50,90,70.0
81,71,76.0
65,77,71.0
72,83,77.5
92,86,89.0
67,92,79.5
96,69,82.5
83,97,90.0
96,61,78.5
100,70,85.0
73,84,78.5
63,92,77.5
41,100,70.5
95,65,80.0
75,90,82.5
91,53,72.0
65,88,76.5
82,73,77.5
76,73,74.5
68,91,79.5
90,78,84.0
86,87,86.5
51,95,73.0
99,81,90.0
81,81,81.0
69,93,81.0
64,96,80.0
48,96,72.0
67,82,74.5
99,100,99.5
91,63,77.0
86,54,70.0
98,71,84.5
97,75,86.0
60,94,77.0
73,77,75.0
93,58,75.5
55,97,76.0
100,49,74.5
65,78,71.5
95,90,92.5
82,95,88.5
87,98,92.5
100,81,90.5
59,85,72.0
96,85,90.5
91,73,82.0
80,99,89.5
99,53,76.0
100,87,93.5
80,67,73.5
62,88,75.0
87,96,91.5
81,87,84.0
98,81,89.5
52,93,72.5
98,84,91.0
95,88,91.5
51,95,73.0
83,84,83.5
100,73,86.5
82,75,78.5
96,76,86.0
47,98,72.5
92,64,78.0
99,89,94.0
86,94,90.0
79,93,86.0
96,67,81.5
100,96,98.0
82,80,81.0
84,78,81.0
86,84,85.0
72,95,83.5
65,95,80.0
60,93,76.5
87,97,92.0
68,76,72.0
97,58,77.5
72,77,74.5
78,82,80.0
82,60,71.0
84,71,77.5
87,100,93.5
90,68,79.0
56,98,77.0
92,51,71.5
96,78,87.0
47,96,71.5
100,58,79.0
47,100,73.5
89,99,94.0
77,72,74.5
97,77,87.0
70,100,85.0
100,99,99.5
80,100,90.0
88,59,73.5
100,47,73.5
53,91,72.0
100,91,95.5
94,70,82.0
55,88,71.5
94,74,84.0
99,83,91.0
97,99,98.0
67,98,82.5
81,85,83.0
84,85,84.5
70,70,70.0
89,93,91.0
71,82,76.5
60,100,80.0
74,97,85.5
99,87,93.0
100,71,85.5
70,75,72.5
88,86,87.0
73,86,79.5
84,69,76.5
63,98,80.5
88,80,84.0
94,69,81.5
51,94,72.5
51,98,74.5
84,81,82.5
95,75,85.0
75,67,71.0
58,82,70.0
94,90,92.0
91,66,78.5
99,91,95.0
96,84,90.0
96,94,95.0
53,90,71.5
55,96,75.5
83,70,76.5
78,88,83.0
91,83,87.0
47,95,71.0
76,85,80.5
68,97,82.5
99,100,99.5
54,87,70.5
84,98,91.0
75,65,70.0
97,60,78.5
72,71,71.5
89,58,73.5
72,92,82.0
85,66,75.5
86,94,90.0
98,97,97.5
65,87,76.0
97,91,94.0
52,88,70.0
99,63,81.0
100,96,98.0
91,60,75.5
95,70,82.5
99,81,90.0
63,100,81.5
87,87,87.0
57,89,73.0
83,78,80.5
89,88,88.5
91,77,84.0
63,86,74.5
85,94,89.5
80,88,84.0
58,83,70.5
88,60,74.0
70,87,78.5
93,78,85.5
88,75,81.5
83,71,77.0
99,88,93.5
86,82,84.0
78,70,74.0
91,94,92.5
62,95,78.5
95,55,75.0
80,99,89.5
50,97,73.5
91,50,70.5
74,76,75.0
88,94,91.0
79,82,80.5
89,83,86.0
88,89,88.5
52,91,71.5
54,86,70.0
90,59,74.5
84,61,72.5
88,90,89.0
92,49,70.5
100,72,86.0
65,83,74.0
90,63,76.5
68,84,76.0
82,96,89.0
92,78,85.0
73,80,76.5
94,74,84.0
75,83,79.0
89,72,80.5
94,68,81.0
89,89,89.0
71,70,70.5
99,79,89.0
68,82,75.0
89,84,86.5
59,93,76.0
76,68,72.0
75,90,82.5
63,84,73.5
100,73,86.5
82,76,79.0
94,51,72.5
97,46,71.5
88,70,79.0
69,99,84.0
48,92,70.0
76,87,81.5
79,95,87.0
74,87,80.5
78,89,83.5
96,56,76.0
95,47,71.0
77,66,71.5
95,80,87.5
99,98,98.5
76,91,83.5
97,84,90.5
99,87,93.0
74,85,79.5
99,69,84.0
80,89,84.5
75,90,82.5
94,57,75.5
86,71,78.5
97,82,89.5
96,60,78.0
92,73,82.5
86,86,86.0
84,98,91.0
98,91,94.5
70,72,71.0
72,88,80.0
74,100,87.0
83,68,75.5
95,49,72.0
77,76,76.5
97,67,82.0
57,93,75.0
94,96,95.0
79,88,83.5
85,61,73.0
100,43,71.5
98,84,91.0
91,61,76.0
82,85,83.5
88,100,94.0
96,89,92.5
91,64,77.5
94,51,72.5
73,84,78.5
99,88,93.5
99,46,72.5
93,55,74.0
75,67,71.0
93,66,79.5
81,99,90.0
97,61,79.0
100,72,86.0
51,93,72.0
65,81,73.0
100,55,77.5
76,80,78.0
96,67,81.5
78,71,74.5
49,98,73.5
80,86,83.0
94,50,72.0
72,71,71.5
96,62,79.0
100,71,85.5
85,91,88.0
89,56,72.5
96,99,97.5
81,87,84.0
73,80,76.5
83,61,72.0
45,98,71.5
99,62,80.5
82,96,89.0
90,98,94.0
60,82,71.0
99,78,88.5
76,79,77.5
96,75,85.5
93,58,75.5
89,57,73.0
88,100,94.0
64,87,75.5
88,52,70.0
88,54,71.0
55,87,71.0
70,81,75.5
75,100,87.5
90,67,78.5
96,54,75.0
55,98,76.5
76,72,74.0
77,78,77.5
95,61,78.0
46,100,73.0
87,89,88.0
96,96,96.0
88,75,81.5
79,68,73.5
87,56,71.5
77,84,80.5
72,71,71.5
89,81,85.0
73,80,76.5
95,70,82.5
95,97,96.0
93,69,81.0
82,89,85.5
69,100,84.5
69,94,81.5
74,87,80.5
87,60,73.5
81,61,71.0
70,81,75.5
77,89,83.0
66,100,83.0
84,90,87.0
74,66,70.0
86,99,92.5
89,86,87.5
92,54,73.0
47,94,70.5
57,84,70.5
89,52,70.5
99,58,78.5
92,84,88.0
81,83,82.0
78,62,70.0
54,93,73.5
97,62,79.5
66,74,70.0
51,100,75.5
88,81,84.5
95,91,93.0
64,95,79.5
74,93,83.5
98,75,86.5
69,79,74.0
95,55,75.0
81,91,86.0
78,89,83.5
73,87,80.0
92,80,86.0
99,78,88.5
85,76,80.5
81,88,84.5
78,75,76.5
64,95,79.5
82,75,78.5
83,59,71.0
64,87,75.5
96,62,79.0
72,77,74.5
73,76,74.5
91,83,87.0
81,61,71.0
79,100,89.5
73,70,71.5
80,97,88.5
89,57,73.0
87,79,83.0
68,92,80.0
56,84,70.0
94,64,79.0
71,94,82.5
85,65,75.0
97,75,86.0
93,76,84.5
81,67,74.0
95,89,92.0
97,71,84.0
